,DATE,CCN,STATION,NAME,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WT01,WT03,WT04,WT06,WT11,Year,Month,Date,Day,Illum
37,2/7/16,59,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,45,27,33,,,,,,,2016,2,7,1,0.03
38,2/8/16,102,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,47,33,35,,,,,,,2016,2,8,2,0
39,2/9/16,77,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.12,0,0,47,35,36,,,,,,,2016,2,9,3,0.01
40,2/10/16,84,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.07,0,0,41,29,32,,,,,,,2016,2,10,4,0.04
41,2/11/16,68,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,40,21,22,,,,,,,2016,2,11,5,0.09
42,2/12/16,78,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,30,17,23,,,,,,,2016,2,12,6,0.17
43,2/13/16,51,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.02,0,0,32,19,20,,,,,,,2016,2,13,7,0.27
44,2/14/16,61,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,24,13,16,,,,,,,2016,2,14,1,0.38
45,2/15/16,57,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.15,2,2,27,16,24,,,,,,,2016,2,15,2,0.49
46,2/16/16,72,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.38,0.5,2,53,24,53,,,,,,,2016,2,16,3,0.6
47,2/17/16,94,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.72,0,0,64,30,35,,,,,,,2016,2,17,4,0.7
48,2/18/16,90,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,48,31,33,,,,,,,2016,2,18,5,0.8
49,2/19/16,85,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,42,20,25,,,,,,,2016,2,19,6,0.87
50,2/20/16,94,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,46,25,46,,,,,,,2016,2,20,7,0.93
51,2/21/16,87,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,67,25,51,,,,,,,2016,2,21,1,0.98
52,2/22/16,94,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.07,0,0,59,40,41,,,,,,,2016,2,22,2,1
53,2/23/16,90,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.14,0,0,54,40,41,,,,,,,2016,2,23,3,1
54,2/24/16,91,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.53,0,0,47,41,46,,,,,,,2016,2,24,4,0.98
55,2/25/16,101,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,1.13,0,0,66,45,46,,,,,,,2016,2,25,5,0.95
56,2/26/16,100,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,49,34,36,,,,,,,2016,2,26,6,0.89
57,2/27/16,93,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,41,26,32,0,,,,,,2016,2,27,7,0.83
58,2/28/16,74,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,47,32,41,,,,,,,2016,2,28,1,0.75
59,2/29/16,81,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,67,41,54,,,,,,,2016,2,29,2,0.67
60,3/1/16,87,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,64,43,44,,,,,,,2016,3,1,3,0.57
61,3/2/16,94,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.08,0,0,67,40,40,,,,,,,2016,3,2,4,0.48
62,3/3/16,70,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,44,26,33,,,,,,,2016,3,3,5,0.38
63,3/4/16,100,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.1,1.2,1,43,32,34,,,,,,,2016,3,4,6,0.28
64,3/5/16,85,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,42,34,35,0,,,,,,2016,3,5,7,0.19
65,3/6/16,74,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,45,34,39,,,,,,,2016,3,6,1,0.11
66,3/7/16,117,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,52,32,40,,,,,,,2016,3,7,2,0.05
67,3/8/16,83,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,67,40,49,,,,,,,2016,3,8,3,0.01
68,3/9/16,76,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,79,43,50,,,,,,,2016,3,9,4,0
69,3/10/16,76,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,,83,50,65,,,,,,,2016,3,10,5,0.02
70,3/11/16,97,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,80,61,61,,,,,,,2016,3,11,6,0.07
71,3/12/16,87,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,,74,48,51,,,,,,,2016,3,12,7,0.14
72,3/13/16,76,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,60,51,54,,,,,,,2016,3,13,1,0.23
73,3/14/16,99,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.48,0,0,60,50,53,,,,,,,2016,3,14,2,0.34
74,3/15/16,109,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.03,0,0,54,46,47,,,,,,,2016,3,15,3,0.45
75,3/16/16,94,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.02,0,0,65,45,46,,,,,,,2016,3,16,4,0.56
76,3/17/16,88,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,75,43,44,,,,,,,2016,3,17,5,0.66
77,3/18/16,114,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,69,43,43,,,,,,,2016,3,18,6,0.75
78,3/19/16,101,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,68,43,45,,,,,,,2016,3,19,7,0.84
79,3/20/16,70,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.21,,,46,37,40,,,,,,,2016,3,20,1,0.9
80,3/21/16,108,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,43,35,40,,,,,,,2016,3,21,2,0.95
81,3/22/16,85,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,54,31,33,,,,,,,2016,3,22,3,0.98
82,3/23/16,91,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,63,33,56,,,,,,,2016,3,23,4,1
83,3/24/16,99,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,76,46,51,,,,,,,2016,3,24,5,1
84,3/25/16,101,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,78,51,66,,,,,,,2016,3,25,6,0.97
85,3/26/16,127,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.02,,,74,40,41,,,,,,,2016,3,26,7,0.94
86,3/27/16,81,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,63,41,49,,,,,,,2016,3,27,1,0.88
87,3/28/16,100,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.41,0,0,57,49,51,,,,,,,2016,3,28,2,0.81
88,3/29/16,98,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.04,,,70,47,48,,,,,,,2016,3,29,3,0.73
89,3/30/16,118,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,62,33,41,,,,,,,2016,3,30,4,0.64
90,3/31/16,84,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,65,41,55,,,,,,,2016,3,31,5,0.54
91,4/1/16,101,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,74,55,69,,,,,,,2016,4,1,6,0.44
92,4/2/16,109,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.1,0,0,84,50,51,,,,,,,2016,4,2,7,0.34
93,4/3/16,90,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.12,0,0,63,36,37,,,,,,,2016,4,3,1,0.24
94,4/4/16,88,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.02,0,0,54,37,51,,,,,,,2016,4,4,2,0.15
95,4/5/16,77,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.08,0,0,72,30,32,,,,,,,2016,4,5,3,0.08
96,4/6/16,82,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,47,28,32,,,,,,,2016,4,6,4,0.02
97,4/7/16,79,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.04,0,0,57,32,55,,,,,,,2016,4,7,5,0
98,4/8/16,94,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.64,0,0,64,44,45,,,,,,,2016,4,8,6,0.01
99,4/9/16,110,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.08,0,0,54,39,39,,,,,,,2016,4,9,7,0.05
100,4/10/16,96,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.03,0,0,50,31,34,0,,,,,,2016,4,10,1,0.11
101,4/11/16,105,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,53,34,49,,,,,,,2016,4,11,2,0.2
102,4/12/16,96,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.03,0,0,74,48,61,,,,,,,2016,4,12,3,0.29
103,4/13/16,94,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,65,40,43,,,,,,,2016,4,13,4,0.4
104,4/14/16,90,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,60,36,41,,,,,,,2016,4,14,5,0.51
105,4/15/16,127,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,65,38,44,,,,,,,2016,4,15,6,0.61
106,4/16/16,105,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,66,41,50,,,,,,,2016,4,16,7,0.7
107,4/17/16,101,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,73,41,51,,,,,,,2016,4,17,1,0.79
108,4/18/16,113,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,76,47,51,,,,,,,2016,4,18,2,0.86
109,4/19/16,118,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,83,51,56,,,,,,,2016,4,19,3,0.92
110,4/20/16,104,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,83,43,55,,,,,,,2016,4,20,4,0.96
111,4/21/16,88,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,73,50,54,,,,,,,2016,4,21,5,0.99
112,4/22/16,133,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,75,54,66,,,,,,,2016,4,22,6,1
113,4/23/16,94,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,74,62,64,,,,,,,2016,4,23,7,0.99
114,4/24/16,85,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.22,0,0,72,44,50,,,,,,,2016,4,24,1,0.96
115,4/25/16,97,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,71,48,53,,,,,,,2016,4,25,2,0.92
116,4/26/16,99,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,80,53,69,,,,,,,2016,4,26,3,0.86
117,4/27/16,88,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,86,55,55,,,,,,,2016,4,27,4,0.78
118,4/28/16,99,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.04,0,0,56,52,54,,,,,,,2016,4,28,5,0.7
119,4/29/16,87,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.57,0,0,56,48,49,,,,,,,2016,4,29,6,0.6
120,4/30/16,88,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.02,0,0,56,48,51,,,,,,,2016,4,30,7,0.49
121,5/1/16,98,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.29,0,0,59,51,55,0,,,,,,2016,5,1,1,0.39
122,5/2/16,84,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.26,0,0,62,55,60,0,,,,,,2016,5,2,2,0.28
123,5/3/16,101,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.89,0,0,80,60,69,0,,,,,,2016,5,3,3,0.18
124,5/4/16,83,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.13,0,0,75,55,55,0,,,,,,2016,5,4,4,0.1
125,5/5/16,119,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.03,0,0,60,50,51,0,,,,,,2016,5,5,5,0.04
126,5/6/16,113,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.13,0,0,57,51,53,0,,,,,,2016,5,6,6,0.01
127,5/7/16,94,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.91,0,0,60,53,59,0,,,,,,2016,5,7,7,0
128,5/8/16,116,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.2,0,0,65,55,65,0,,,,,,2016,5,8,1,0.03
129,5/9/16,93,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,73,44,56,0,,,,,,2016,5,9,2,0.09
130,5/10/16,86,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.08,0,0,67,56,59,0,,,,,,2016,5,10,3,0.16
131,5/11/16,97,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.09,0,0,64,54,55,0,,,,,,2016,5,11,4,0.25
132,5/12/16,114,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.18,0,0,65,55,63,0,,,,,,2016,5,12,5,0.35
133,5/13/16,128,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,68,63,66,0,,,,,,2016,5,13,6,0.45
134,5/14/16,125,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.11,0,0,78,50,62,0,,,,,,2016,5,14,7,0.55
135,5/15/16,103,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.14,0,0,76,49,52,0,,,,,,2016,5,15,1,0.65
136,5/16/16,133,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,76,42,48,0,,,,,,2016,5,16,2,0.74
137,5/17/16,100,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,69,47,57,0,,,,,,2016,5,17,3,0.81
138,5/18/16,96,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.4,0,0,60,55,59,0,,,,,,2016,5,18,4,0.88
139,5/19/16,94,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.03,0,0,69,55,56,0,,,,,,2016,5,19,5,0.94
140,5/20/16,125,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,73,49,51,0,,,,,,2016,5,20,6,0.97
141,5/21/16,123,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.22,0,0,78,51,57,0,,,,,,2016,5,21,7,0.99
142,5/22/16,97,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.42,0,0,78,51,57,0,,,,,,2016,5,22,1,1
143,5/23/16,107,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.38,0,0,65,57,65,0,,,,,,2016,5,23,2,0.98
144,5/24/16,111,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.22,0,0,76,61,65,0,,,,,,2016,5,24,3,0.95
145,5/25/16,127,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,83,57,59,0,,,,,,2016,5,25,4,0.89
146,5/26/16,116,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,85,59,61,0,,,,,,2016,5,26,5,0.82
147,5/27/16,101,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,86,61,72,0,,,,,,2016,5,27,6,0.74
148,5/28/16,90,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,92,71,74,0,,,,,,2016,5,28,7,0.64
149,5/29/16,120,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,92,64,75,0,,,,,,2016,5,29,1,0.53
150,5/30/16,108,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.75,0,0,87,70,76,0,,,,,,2016,5,30,2,0.42
151,5/31/16,116,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.03,0,0,83,70,72,0,,,,,,2016,5,31,3,0.31
152,6/1/16,104,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,89,67,70,0,,,,,,2016,6,1,4,0.21
153,6/2/16,102,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,90,67,69,0,,,,,,2016,6,2,5,0.12
154,6/3/16,112,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,84,68,73,0,,,,,,2016,6,3,6,0.06
155,6/4/16,111,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.29,0,0,81,73,76,0,,,,,,2016,6,4,7,0.01
156,6/5/16,100,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.1,0,0,83,74,80,0,,,,,,2016,6,5,1,0
157,6/6/16,104,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,85,70,72,0,,,,,,2016,6,6,2,0.02
158,6/7/16,108,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,87,71,73,0,,,,,,2016,6,7,3,0.06
159,6/8/16,105,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,88,63,65,0,,,,,,2016,6,8,4,0.12
160,6/9/16,122,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,73,53,63,0,,,,,,2016,6,9,5,0.2
161,6/10/16,120,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,83,60,61,0,,,,,,2016,6,10,6,0.29
162,6/11/16,103,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,83,61,72,0,,,,,,2016,6,11,7,0.39
163,6/12/16,120,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,96,72,84,0,,,,,,2016,6,12,1,0.49
164,6/13/16,121,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,93,63,64,0,,,,,,2016,6,13,2,0.58
165,6/14/16,98,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,81,64,69,0,,,,,,2016,6,14,3,0.68
166,6/15/16,114,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,83,63,68,0,,,,,,2016,6,15,4,0.76
167,6/16/16,125,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.03,0,0,84,67,71,0,,,,,,2016,6,16,5,0.84
168,6/17/16,143,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.57,0,0,88,67,67,0,,,,,,2016,6,17,6,0.9
169,6/18/16,128,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,83,63,71,0,,,,,,2016,6,18,7,0.95
170,6/19/16,98,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,86,66,73,0,,,,,,2016,6,19,1,0.98
171,6/20/16,111,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,90,65,78,0,,,,,,2016,6,20,2,1
172,6/21/16,124,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,93,75,76,0,,,,,,2016,6,21,3,0.99
173,6/22/16,120,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,1.04,0,0,91,70,76,0,,,,,,2016,6,22,4,0.97
174,6/23/16,119,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.43,0,0,84,70,74,0,,,,,,2016,6,23,5,0.92
175,6/24/16,102,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.12,0,0,81,72,74,0,,,,,,2016,6,24,6,0.85
176,6/25/16,118,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,86,71,73,0,,,,,,2016,6,25,7,0.77
177,6/26/16,117,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,86,62,73,0,,,,,,2016,6,26,1,0.67
178,6/27/16,122,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,87,66,72,0,,,,,,2016,6,27,2,0.56
179,6/28/16,91,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.16,0,0,87,70,74,0,,,,,,2016,6,28,3,0.45
180,6/29/16,116,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.42,0,0,87,71,77,0,,,,,,2016,6,29,4,0.34
181,6/30/16,123,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,83,62,70,0,,,,,,2016,6,30,5,0.23
182,7/1/16,129,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,86,69,76,0,,,,,,2016,7,1,6,0.14
183,7/2/16,130,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.27,0,0,90,69,73,0,,1,,,,2016,7,2,7,0.07
184,7/3/16,76,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.02,0,0,81,64,65,0,,,,,,2016,7,3,1,0.02
185,7/4/16,106,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.02,0,0,75,65,72,0,,,,,,2016,7,4,2,0
186,7/5/16,99,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.68,0,0,72,66,72,0,,,,,,2016,7,5,3,0.01
187,7/6/16,98,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,93,72,83,0,,,,,,2016,7,6,4,0.04
188,7/7/16,101,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,93,77,79,0,,,,,,2016,7,7,5,0.09
189,7/8/16,105,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,93,76,80,0,,,,,,2016,7,8,6,0.16
190,7/9/16,98,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.05,0,0,93,77,81,0,,,,,,2016,7,9,7,0.24
191,7/10/16,119,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,94,73,76,0,,,,,,2016,7,10,1,0.33
192,7/11/16,110,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,88,67,72,0,,,,,,2016,7,11,2,0.42
193,7/12/16,112,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,89,68,73,0,,,,,,2016,7,12,3,0.52
194,7/13/16,118,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,87,73,76,0,,,,,,2016,7,13,4,0.61
